smiles,molwt,fsp3,logp,binding_affinity,cypi,tpsa
[H]C#C/C([H])=C(/C([H])([H])[H])C([H])([H])N([H])[H],95.073499288,0.3333333333333333,0.5246000000000001,,,
[H]C([H])([H])C(=O)N1C([H])([H])C([H])([H])C1([H])[H],99.068413908,0.8,0.23860000000000003,,,
[H]C([H])([H])[C@@]1([H])OC(=O)[C@]1([H])C([H])([H])[H],100.052429496,0.8,0.5678,,,
[H]O[C@]([H])(C([H])([H])[H])C([H])([H])N([H])[N][C]([H])[H],102.07931294,0.75,-0.7322099999999998,,,
[H]C([H])=C([H])[C@@]1([H])C([H])([H])O[C@]1([H])C([H])([H])[H],98.07316494,0.6666666666666666,1.2073,,,
[H]N(C([H])([H])C#N)C([H])([H])C#N,95.04834715999999,0.5,-0.37684000000000006,,,
[H][C]([N]C([H])([H])C([H])([H])[H])N([H])OC([H])([H])[H],102.07931294,0.75,-0.11901,,,
[H]/N=C1\N([H])C([H])([H])C([H])=C([H])C1([H])[H],96.06874825599999,0.4,0.5131700000000001,,,
[H]C1=C([H])[C@]2([H])N([H])[C@]2([H])[C@@]1([H])N([H])[H],96.06874825599999,0.6,-0.7761000000000002,,,
[H]C1([H])O[C@@]2([H])C([H])([H])[C@@]2([H])C1([H])[H],84.057514876,1.0,0.7952,,,
[H]c1onc([H])c(=O)c1[H],97.016378336,0.0,0.03479999999999994,,,
[H]O[C@]12C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C2([H])[H],98.07316494,1.0,0.9213,,,
[H]c1c(C([H])([H])[H])n([H])oc1=O,99.0320284,0.25,0.27631999999999995,,,
[H]/N=C1\C(=C([H])[H])C([H])([H])ON1[H],98.048012812,0.25,0.05466999999999994,,,
[H]O[C@@]1([H])[C@@]2([H])N([H])[C@]1([H])C([H])([H])C2([H])[H],99.068413908,1.0,-0.5185000000000002,,,
[H]O/N=C(C(/[H])=C(\[H])C([H])([H])[H])\C([H])([H])[H],99.068413908,0.4,1.4126,,,
[H]O[C@@]1([H])[C@]([H])(N([H])[H])[C@]1([H])C([H])([H])[H],87.068413908,1.0,-0.6757,,,
[H]C([H])([H])O[C@@]1([H])C([H])([H])O[C@]1([H])C([H])([H])[H],102.06807956,1.0,0.42010000000000003,,,
[H]/C(C#CC([H])([H])[H])=C(/[H])OC([H])([H])[H],96.057514876,0.3333333333333333,1.1698,,,
[H]N([H])[C@]1([H])[C@@]2([H])C([H])([H])N([H])[C@]1([H])C2([H])[H],98.08439831999999,1.0,-0.6946000000000001,,,
[H]C#C/C([H])=C(\C([H])=O)C([H])([H])[H],94.041864812,0.16666666666666666,0.7647999999999999,,,
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])[H],99.068413908,0.4,0.30849999999999994,,,
[H]O[C@]1([H])C([H])([H])N([H])C([H])([H])C1([H])[H],87.068413908,1.0,-0.6594,,,
[H]Oc1c([H])c(N([H])[H])c([H])n1[H],98.048012812,0.0,0.30249999999999994,,,
[H]C([H])=C1C(=C([H])[H])C([H])([H])N([H])C1([H])[H],95.073499288,0.3333333333333333,0.702,,,
[H]N1C([H])([H])C([H])([H])[C@]([H])(C#N)C1([H])[H],96.06874825599999,0.8,0.11948000000000003,,,
[H]N1C([H])([H])C([H])([H])[C@]1([H])[C@@]1([H])OC1([H])[H],99.068413908,1.0,-0.2529000000000001,,,
[H]N(C([H])([H])C([H])([H])[H])S(=O)(=O)C([H])([H])[H],123.035399528,1.0,-0.4445000000000001,,,
[H]C#C/C([H])=C(\[H])C([H])([H])C([H])([H])N([H])[H],95.073499288,0.3333333333333333,0.5246000000000001,,,
[H][C]([H])c1oc([H])c([H])c1[C]([H])[H],94.041864812,0.0,1.64398,,,
[H]C(=O)N(C(=O)C([H])([H])[H])C([H])([H])[H],101.047678464,0.5,-0.3789,,,
[H]C(=O)[C@@]([H])(C([H])([H])[H])C([H])([H])C#N,97.052763844,0.6,0.73508,,,
[H][C]([N]OC([H])([H])[H])[C@]([H])(N([H])[H])C([H])([H])[H],102.07931294,0.75,-0.33881000000000006,,,
[H]/C(=C(/[H])[C@]([H])(N([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H],99.10479941599999,0.6666666666666666,1.2998,,,
[H]O[C@@]([H])(C#N)C#CC([H])([H])[H],95.03711378,0.4,-0.10582000000000003,,,
[H]C([H])([H])C#CC(=O)OC([H])([H])[H],98.036779432,0.4,0.18269999999999997,,,
[H]C([H])=C(C([H])([H])N([H])[H])C([H])([H])C([H])([H])N([H])[H],100.10004838399999,0.6,-0.14990000000000003,,,
[H]N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],99.10479941599999,1.0,1.2778,,,
[H][C]([H])[N]N1C([H])([H])[C@]1([H])C([H])([H])C([H])([H])[H],98.08439831999999,0.8,0.3915899999999999,,,
[H]N1OC([H])([H])C([H])([H])C([H])([H])C1=O,101.047678464,0.75,-0.17200000000000015,,,
[H]OC([H])([H])C([H])([H])[C@@]([H])(OC([H])([H])[H])C([H])([H])[H],104.083729624,1.0,0.40369999999999995,,,
[H]N([H])N(C(=O)C([H])([H])C([H])([H])[H])C([H])([H])[H],102.07931294,0.75,-0.2715000000000001,,,
[H]C#CC([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H],98.07316494,0.6666666666666666,1.0462,,,
[H]OC([H])([H])[C@]([H])(N([H])[H])[C@]([H])(O[H])C([H])([H])[H],105.078978592,1.0,-1.3132,,,
[H]OC([H])([H])[C@@]1([H])N([H])C([H])([H])[C@]1([H])N([H])[H],102.07931294,1.0,-1.722199999999999,,,
[H]OC([H])([H])[C@@]([H])(C#CC([H])([H])[H])N([H])[H],99.068413908,0.6,-0.6707000000000001,,,
[H]C([H])([H])C([H])([H])OC1(C([H])([H])[H])C([H])([H])C1([H])[H],100.088815004,1.0,1.5754000000000001,,,
